config,seed,ap50,ap75,ece,precision_at_recall_0_85,run
afm_all,123,0.9042649336857315,0.8252570806334247,0.18472672053405984,0.9818181818181818,redesign_afm_all_s123
afm_all,2024,0.9036431793410216,0.6068102519462167,0.1708766484383608,0.8375,redesign_afm_all_s2024
afm_all,42,0.8515190547853566,0.6457870076516187,0.12504672011693024,0.6290322580645161,redesign_afm_all_s42
afm_pah,123,0.9055498259895867,0.814906624516114,0.2082968681006589,0.9642857142857143,redesign_afm_pah_s123
afm_pah,2024,0.9013341960263224,0.6031021408566059,0.1408935038684113,0.8481012658227848,redesign_afm_pah_s2024
afm_pah,42,0.8460685649869829,0.6637876058874995,0.1466120491630554,0.52,redesign_afm_pah_s42
afm_pbg_pah,123,0.9041658865202631,0.823839299465906,0.1878779891832606,0.9818181818181818,redesign_afm_pbg_pah_s123
afm_pbg_pah,2024,0.9039093779496316,0.6142418077761503,0.1598606921520584,0.8375,redesign_afm_pbg_pah_s2024
afm_pbg_pah,42,0.844311236619333,0.6474457568387739,0.17306485644487152,0.5486111111111112,redesign_afm_pbg_pah_s42
afm_pbg,123,0.9422476738673331,0.8947359701649924,0.06735273917333087,0.9821428571428571,redesign_afm_pbg_s123
afm_pbg,2024,0.9242992703573902,0.7643997337765652,0.04539899557017857,0.9710144927536232,redesign_afm_pbg_s2024
afm_pbg,42,0.8679075400364431,0.7089933730505218,0.04692416320218962,0.896551724137931,redesign_afm_pbg_s42
afm_pbg_tam,123,0.9418322208308871,0.8768325807882602,0.0669016700062538,0.9821428571428571,redesign_afm_pbg_tam_s123
afm_pbg_tam,2024,0.9244761376737618,0.7036523125184063,0.05459638447995846,0.9714285714285714,redesign_afm_pbg_tam_s2024
afm_pbg_tam,42,0.8779264722452262,0.7109436652528759,0.06154466716962481,0.9186046511627907,redesign_afm_pbg_tam_s42
afm,123,0.9426133373902266,0.8410596198439451,0.0615775400461554,0.9821428571428571,redesign_afm_s123
afm,2024,0.9247326476291282,0.7228616992930004,0.07045529703541875,0.9577464788732394,redesign_afm_s2024
afm,42,0.8689926226220936,0.6748746749036997,0.06521553765071042,0.9176470588235294,redesign_afm_s42
afm_tam,123,0.9427978196621113,0.8088810166139361,0.07103561555622567,0.9824561403508771,redesign_afm_tam_s123
afm_tam,2024,0.9252381831229499,0.7175662480657976,0.04427956684570816,0.9577464788732394,redesign_afm_tam_s2024
afm_tam,42,0.868914127124393,0.672947393973448,0.05097793303491727,0.9080459770114943,redesign_afm_tam_s42
